회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,1,6,389,25.343,,,,
2,6,1,6,204,13.621,,,,
3,6,1,6,158,10.535,,,,
4,6,1,6,285,21.892,,,,
5,6,1,6,225,14.071,1261,85.462,252.2,17.0924
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,6,1,393,24.822,,,,
2,6,6,1,127,8.678,,,,
3,6,6,1,252,17.569,,,,
4,6,6,1,228,16.495,,,,
5,6,6,1,184,12.727,1184,80.291,236.8,16.0582
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,6,6,237,14.736,,,,
2,6,6,6,263,17.924,,,,
3,6,6,6,237,16.249,,,,
4,6,6,6,324,23.062,,,,
5,6,6,6,163,10.833,1224,82.804,244.8,16.5608
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,1,3,161,8.233
2,6,1,3,408,22.885
3,6,1,3,397,23.08,966,54.198,322,18.066
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,1,5,315,21.633
2,6,1,5,322,23.871
3,6,1,5,233,21.427,870,66.931,290,22.3103
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,3,1,307,20.093
2,6,3,1,224,15.085
3,6,3,1,235,16.644,766,51.822,255.333,17.274
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,3,3,185,7.667
2,6,3,3,353,14.522
3,6,3,3,217,8.765,755,30.954,251.667,10.318
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,4,2,157,6.434
2,6,4,2,161,7.204
3,6,4,2,160,7.042,478,20.68,159.333,6.89333
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,4,3,294,13.652
2,6,4,3,258,12.941
3,6,4,3,180,8.17,732,34.763,244,11.5877
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,4,4,216,9.575
2,6,4,4,403,18.296
3,6,4,4,359,16.999,978,44.87,326,14.9567
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,4,6,319,17.143
2,6,4,6,334,14.868
3,6,4,6,318,13.494,971,45.505,323.667,15.1683
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,5,3,173,8.719
2,6,5,3,170,8.432
3,6,5,3,390,20.343,733,37.494,244.333,12.498
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,6,4,398,19.125
2,6,6,4,294,14.655
3,6,6,4,193,9.133,885,42.913,295,14.3043
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,2,1,216,8.921,216,8.921,216,8.921
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,1,1,98,4.05,98,4.05,98,4.05
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,1,1,174,7.239,174,7.239,174,7.239
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,1,1,318,14.348,318,14.348,318,14.348
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,7,1,1,319,13.723,319,13.723,319,13.723
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,2,3,98,4.068,98,4.068,98,4.068
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,4,2,157,6.418,157,6.418,157,6.418
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,3,3,73,3.43,73,3.43,73,3.43
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,3,4,102,4.442
2,5,3,4,162,6.838
3,5,3,4,102,4.237
4,5,3,4,102,4.144
5,5,3,4,115,4.908
6,5,3,4,118,4.824
7,5,3,4,162,6.662
8,5,3,4,123,5.129
9,5,3,4,112,4.523
10,5,3,4,198,8.876,1296,54.583,129.6,5.4583
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,5,2,4,224,9.17,224,9.17,224,9.17
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,6,2,4,184,8.187,184,8.187,184,8.187
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,7,2,4,376,16.636,376,16.636,376,16.636
회차,방의 크기,시작 y 좌표,시작 x 좌표,이동 횟수,소요시간,총 이동 횟수,총 소요시간,평균 이동 횟수,평균 소요 시간
1,8,2,4,680,33.02,680,33.02,680,33.02
